Table 6. Space Economy Gross Output Price Indexes by Industry,,,,,,,,,,,,,
"[index numbers, 2017 = 100]",,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,
"Last updated: March 31, 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
 , ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Space economy1,103.656,102.525,101.143,99.775,99.159,100.000,101.822,103.843,104.588,110.390,115.408,119.198
2,    Private industries,105.696,104.063,102.025,100.329,99.403,100.000,101.551,103.610,104.367,110.827,115.488,119.001
3,"        Agriculture, forestry, fishing, and hunting",…,…,…,…,…,…,…,…,…,…,…,…
4,            Farms,…,…,…,…,…,…,…,…,…,…,…,…
5,"            Forestry, fishing, and related activities",…,…,…,…,…,…,…,…,…,…,…,…
6,        Mining,92.800,93.932,96.155,98.580,97.098,100.000,103.326,104.856,108.712,110.872,113.527,115.574
7,            Oil and gas extraction,92.792,93.931,96.161,98.591,97.108,100.000,103.279,104.767,108.436,110.386,112.920,114.906
8,"            Mining, except oil and gas",92.656,93.806,96.042,98.479,96.994,100.000,103.601,105.366,110.087,113.214,116.477,118.829
9,            Support activities for mining,92.850,93.963,96.167,98.577,97.096,100.000,103.370,104.942,109.022,111.438,114.229,116.343
10,        Utilities,100.661,100.104,99.833,100.297,99.188,100.000,100.171,99.942,99.913,99.509,101.024,102.055
11,        Construction,90.721,92.654,94.648,95.775,96.933,100.000,104.380,109.268,112.897,119.671,135.532,142.181
12,        Manufacturing,126.702,123.769,117.436,109.796,102.411,100.000,97.435,95.755,94.854,94.386,96.275,97.786
13,            Durable goods,127.086,124.096,117.622,109.873,102.449,100.000,97.394,95.695,94.769,94.285,96.167,97.673
14,                Wood products,92.506,93.661,95.891,98.305,96.990,100.000,103.580,105.440,110.223,113.515,117.056,119.529
15,                Nonmetallic mineral products,92.643,93.792,96.033,98.474,96.992,100.000,103.634,105.443,110.349,113.724,117.135,119.555
16,                Primary metals,93.131,95.855,97.193,100.372,98.614,100.000,108.306,109.145,114.077,140.205,139.611,139.884
17,                Fabricated metal products,92.623,93.880,96.100,98.471,97.200,100.000,103.957,105.896,110.629,115.697,119.119,121.507
18,                Machinery,93.527,94.669,96.649,98.610,97.514,100.000,103.017,104.553,108.010,110.502,113.667,116.484
19,                Computer and electronic products2,156.929,149.444,134.223,118.041,104.990,100.000,94.625,90.908,88.493,85.913,85.798,85.910
20,"                Electrical equipment, appliances, and components",101.908,96.894,95.459,96.922,97.459,100.000,102.257,107.617,110.710,129.608,137.516,143.938
21,"                Motor vehicles, bodies and trailers, and parts",110.090,109.404,106.378,101.438,100.680,100.000,99.448,100.036,97.629,98.252,104.975,105.011
22,                Other transportation equipment3,96.726,98.015,99.508,99.866,99.233,100.000,101.057,102.009,102.932,105.087,110.030,113.519
23,                Furniture and related products,92.693,93.835,96.070,98.500,97.018,100.000,103.598,105.365,110.196,113.457,116.764,119.131
24,                Miscellaneous manufacturing,92.624,93.770,96.008,98.440,96.988,100.000,103.635,105.448,110.348,113.752,117.195,119.622
25,            Nondurable goods,96.470,96.692,98.320,99.650,97.361,100.000,103.260,104.759,109.264,112.286,115.518,117.834
26,                Food and beverage and tobacco products,92.629,93.780,96.024,98.468,96.983,100.000,103.644,105.450,110.362,113.717,117.121,119.537
27,                Textile mills and textile product mills,92.638,93.787,96.028,98.469,96.984,100.000,103.643,105.450,110.365,113.717,117.116,119.531
28,                Apparel and leather and allied products,92.613,93.826,96.054,98.480,97.001,100.000,103.626,105.425,110.308,113.604,116.984,119.400
29,                Paper products,92.677,93.823,96.061,98.490,97.002,100.000,103.624,105.425,110.294,113.604,117.008,119.424
30,                Printing and related support activities,93.133,94.261,96.470,98.805,97.346,100.000,103.201,104.825,109.167,111.783,114.706,116.873
31,                Petroleum and coal products,92.714,93.859,96.088,98.502,97.021,100.000,103.616,105.420,110.319,113.657,117.047,119.457
32,                Chemical products,206.931,189.784,160.302,130.804,108.656,100.000,91.648,84.413,79.408,74.889,73.160,72.582
33,                Plastics and rubber products,92.457,93.617,95.848,98.259,96.969,100.000,103.611,105.462,110.310,113.617,117.147,119.609
34,        Wholesale trade,104.674,98.298,95.604,96.712,97.649,100.000,102.323,107.806,110.398,132.480,141.396,148.847
35,        Retail trade,88.263,97.871,97.908,96.808,92.674,100.000,99.719,91.552,97.100,104.166,98.605,104.250
36,            Motor vehicle and parts dealers,99.960,104.093,100.506,98.357,99.417,100.000,100.504,101.495,103.013,109.609,123.813,118.975
37,            Food and beverage stores,85.696,87.772,91.400,96.047,99.298,100.000,103.228,105.430,109.091,110.338,124.438,137.007
38,            General merchandise stores,98.985,99.619,101.565,101.819,101.626,100.000,99.229,103.306,99.671,104.169,124.119,132.304
39,            Other retail,86.626,97.619,97.355,96.034,91.315,100.000,99.787,89.732,96.723,104.228,94.986,100.288
40,        Transportation and warehousing,101.268,101.216,102.559,99.892,98.403,100.000,104.595,107.517,104.662,114.740,136.220,134.114
41,            Air transportation,105.720,104.356,105.373,101.740,99.261,100.000,102.160,105.472,97.550,99.277,115.449,118.073
42,            Rail transportation,98.248,100.439,101.759,98.724,97.200,100.000,103.889,105.777,108.097,111.669,118.729,121.019
43,            Water transportation,97.405,97.119,102.198,100.970,94.592,100.000,106.713,111.996,107.417,119.255,138.827,140.255
44,            Truck transportation,97.334,98.747,100.378,98.493,97.816,100.000,106.534,109.136,108.631,122.573,146.999,139.401
45,            Transit and ground passenger transportation,87.416,91.275,91.970,92.822,96.812,100.000,103.614,105.403,110.230,112.908,115.915,117.608
46,            Pipeline transportation,98.654,97.895,97.939,98.613,97.215,100.000,103.407,105.054,109.380,112.269,115.420,117.668
47,            Other transportation and support activities,94.178,94.628,95.981,94.650,96.453,100.000,103.980,107.302,110.907,117.524,130.160,133.667
48,            Warehousing and storage,97.325,98.560,100.018,98.583,97.583,100.000,103.672,105.289,107.877,112.635,119.673,119.449
49,        Information,94.547,95.445,95.844,96.051,98.753,100.000,104.045,107.281,107.737,110.804,115.175,118.424
50,"            Publishing industries, except internet (includes software)",96.157,97.646,99.310,99.746,98.232,100.000,101.855,102.463,104.303,104.850,105.254,106.578
51,            Motion picture and sound recording industries,91.567,93.770,95.881,98.052,96.143,100.000,103.295,103.319,108.617,111.844,113.375,116.169
52,            Broadcasting and telecommunications4,94.599,95.488,95.860,96.040,98.797,100.000,104.038,107.296,107.677,110.729,115.124,118.248
53,"            Data processing, internet publishing, and other information services",90.717,91.926,93.551,95.238,96.936,100.000,104.929,107.966,111.008,115.299,120.068,128.013
54,"        Finance, insurance, real estate, rental, and leasing",95.344,95.895,96.999,98.791,99.302,100.000,101.195,103.081,107.194,109.184,113.837,121.885
55,            Finance and insurance,95.315,95.867,96.974,98.777,99.313,100.000,101.188,103.108,107.324,109.293,113.924,122.112
56,"                Federal Reserve banks, credit intermediation, and related activities",100.015,99.501,99.500,99.935,98.587,100.000,101.238,101.546,103.353,104.294,106.244,107.910
57,"                Securities, commodity contracts, and investments",97.525,97.362,98.245,99.291,97.947,100.000,102.205,102.736,105.291,106.768,108.913,110.720
58,                Insurance carriers and related activities,95.137,95.738,96.903,98.805,99.542,100.000,101.035,103.182,107.834,110.043,115.294,124.501
59,"                Funds, trusts, and other financial vehicles",98.065,97.904,98.304,99.141,97.756,100.000,103.090,104.128,105.691,105.588,106.757,108.070
60,            Real estate and rental and leasing,98.604,98.961,99.598,100.077,98.671,100.000,101.486,102.329,104.308,106.610,111.542,114.757
61,                Real estate,98.487,98.389,98.866,99.630,98.260,100.000,102.105,102.975,106.102,107.987,110.254,112.101
62,                    Housing,98.879,98.852,99.260,99.863,98.514,100.000,101.791,102.469,105.218,106.697,108.683,110.405
63,                    Other real estate,98.384,98.276,98.769,99.570,98.196,100.000,102.186,103.105,106.330,108.318,110.661,112.543
64,                Rental and leasing services and lessors of intangible assets,98.963,99.561,100.291,100.545,99.103,100.000,100.698,101.513,101.814,104.810,113.736,118.996
65,        Professional and business services,93.053,94.194,95.962,98.246,97.436,100.000,103.024,104.659,108.120,110.675,113.943,116.384
66,"            Professional, scientific, and technical services",93.006,94.156,95.925,98.219,97.427,100.000,103.036,104.685,108.151,110.728,114.022,116.477
67,                Legal services,101.450,100.900,100.761,100.983,99.680,100.000,99.977,99.589,99.636,98.708,99.303,100.276
68,                Computer systems design and related services,102.172,102.019,101.909,101.759,100.564,100.000,99.102,97.643,96.278,94.286,93.628,94.211
69,"                Miscellaneous professional, scientific, and technical services",92.447,93.668,95.525,97.952,97.186,100.000,103.376,105.282,109.188,112.259,115.994,118.639
70,            Management of companies and enterprises,94.407,95.274,97.095,99.004,97.566,100.000,102.780,104.035,107.570,109.411,111.641,113.490
71,            Administrative and waste management services,96.850,96.626,97.734,99.334,98.022,100.000,102.405,103.349,106.257,107.902,110.026,111.908
72,                Administrative and support services,96.837,96.615,97.728,99.333,98.020,100.000,102.407,103.352,106.262,107.909,110.035,111.918
73,                Waste management and remediation services,103.513,102.895,101.984,101.273,100.162,100.000,100.016,99.527,99.333,98.085,98.212,98.852
74,"        Educational services, health care, and social assistance",95.167,96.515,98.612,97.011,98.117,100.000,102.843,104.328,105.272,106.407,110.094,112.822
75,            Educational services,95.224,96.589,98.690,96.924,98.154,100.000,102.826,104.309,105.166,106.262,109.998,112.759
76,            Health care and social assistance,93.737,94.709,96.711,98.867,97.413,100.000,103.157,104.664,108.458,110.830,113.868,116.095
77,                Ambulatory health care services,102.913,102.011,101.438,100.958,99.714,100.000,100.221,100.015,100.071,99.075,99.644,100.522
78,                Hospitals,93.458,94.477,96.541,98.770,97.308,100.000,103.275,104.855,108.896,111.486,114.612,116.885
79,                Nursing and residential care facilities,100.850,100.439,100.363,100.527,99.213,100.000,100.623,100.653,101.202,100.624,101.476,102.512
80,                Social assistance,104.079,103.237,102.499,101.742,100.605,100.000,99.196,98.230,97.059,95.289,95.247,95.786
81,"        Arts, entertainment, recreation, accommodation, and food services",90.796,92.607,94.152,95.985,97.625,100.000,100.546,102.335,105.318,108.437,114.732,121.007
82,"            Arts, entertainment, and recreation",90.605,92.456,94.030,95.875,97.560,100.000,100.587,102.416,105.450,108.619,115.035,121.478
83,"                Performing arts, spectator sports, museums, and related activities",90.578,92.444,94.021,95.870,97.555,100.000,100.588,102.419,105.461,108.634,115.062,121.521
84,"                Amusements, gambling, and recreation industries",101.095,97.603,98.063,98.492,100.165,100.000,100.328,100.878,99.863,100.737,101.685,101.699
85,            Accommodation and food services,99.377,99.746,100.209,101.578,101.244,100.000,98.096,97.640,96.904,96.008,95.747,95.505
86,                Accommodation,99.411,99.782,100.243,101.605,101.258,100.000,98.081,97.630,96.870,95.945,95.610,95.364
87,                Food services and drinking places,93.531,93.540,94.535,97.513,99.236,100.000,100.315,99.171,100.641,101.855,107.392,107.535
88,"        Other services, except government",98.453,100.445,100.385,99.619,97.461,100.000,98.885,92.726,94.665,95.205,91.521,94.285
89,    Government5,93.049,94.417,96.434,96.807,97.845,100.000,103.276,105.098,105.789,108.716,115.262,120.205
90,        Federal,92.541,93.878,95.916,96.638,97.800,100.000,103.277,105.132,105.821,108.960,115.802,121.014
91,            General government,92.540,93.877,95.916,96.637,97.800,100.000,103.278,105.132,105.822,108.962,115.804,121.017
92,                National defense,96.072,96.359,97.810,97.730,98.405,100.000,102.675,103.867,104.768,107.561,117.461,121.498
93,                Nondefense,91.695,93.281,95.459,96.367,97.647,100.000,103.435,105.465,106.095,109.350,115.048,120.750
94,            Government enterprises,103.859,103.825,103.939,103.312,102.363,100.000,98.392,99.370,95.927,94.643,99.234,102.302
95,        State and local,99.139,100.862,102.622,98.837,98.390,100.000,103.266,104.714,105.428,106.159,109.835,112.410
96,            General government,99.139,100.862,102.622,98.837,98.390,100.000,103.266,104.714,105.428,106.159,109.835,112.410
97,            Government enterprises,102.304,103.260,100.312,98.214,96.794,100.000,105.265,107.807,108.068,113.234,123.916,126.645
,Addendum:,,,,,,,,,,,,
98,"Space economy excluding satellite television, satellite radio, and educational services6",108.335,106.349,104.159,101.927,99.652,100.000,100.820,102.310,103.154,109.332,114.234,118.040
"1. The space economy consists of space-related goods and services, both public and private. This includes goods and services that:",,,,,,,,,,,,,
"1. Are used or made in space, or directly support those used or made in space ",,,,,,,,,,,,,
"2. Require direct input from space to function, or directly support those that do, and",,,,,,,,,,,,,
3. Are associated with studying space.,,,,,,,,,,,,,
"2. Includes manufacturing of satellites; ground equipment; search, detection, navigation, and guidance systems (GPS/PNT equipment).",,,,,,,,,,,,,
3. Includes manufacturing of space vehicles and space weapons systems. ,,,,,,,,,,,,,
4. Includes direct-to-home satellite television services.,,,,,,,,,,,,,
"5. Includes spending on personnel, operations, and maintenance. Government spending on private sector investment (structures, equipment, intellectual property) is included within the individual industries.",,,,,,,,,,,,,
"6. This value represents a narrower interpretation of the ""space economy"" definition. These services are primarily produced by the Information (line 49) and Educational services, health care, and social assistance (line 74) sectors.",,,,,,,,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,,,,,,,
