,Space economy1,    Private industries,"        Agriculture, forestry, fishing, and hunting",            Farms,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products2,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment3,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities,            Warehousing and storage,        Information,"            Publishing industries, except internet (includes software)",            Motion picture and sound recording industries,            Broadcasting and telecommunications4,"            Data processing, internet publishing, and other information services","        Finance, insurance, real estate, rental, and leasing",            Finance and insurance,"                Federal Reserve banks, credit intermediation, and related activities","                Securities, commodity contracts, and investments",                Insurance carriers and related activities,"                Funds, trusts, and other financial vehicles",            Real estate and rental and leasing,                Real estate,                    Housing,                    Other real estate,                Rental and leasing services and lessors of intangible assets,        Professional and business services,"            Professional, scientific, and technical services",                Legal services,                Computer systems design and related services,"                Miscellaneous professional, scientific, and technical services",            Management of companies and enterprises,            Administrative and waste management services,                Administrative and support services,                Waste management and remediation services,"        Educational services, health care, and social assistance",            Educational services,            Health care and social assistance,                Ambulatory health care services,                Hospitals,                Nursing and residential care facilities,                Social assistance,"        Arts, entertainment, recreation, accommodation, and food services","            Arts, entertainment, and recreation","                Performing arts, spectator sports, museums, and related activities","                Amusements, gambling, and recreation industries",            Accommodation and food services,                Accommodation,                Food services and drinking places,"        Other services, except government",    Government5,        Federal,            General government,                National defense,                Nondefense,            Government enterprises,        State and local,            General government,            Government enterprises,Addendum:,"Space economy excluding satellite television, satellite radio, and educational services6"
2012,101966,79861,â€¦,â€¦,â€¦,53,39,0,14,1,265,24193,23809,21,53,50,260,822,11983,612,2,10195,17,577,420,224,8,2,10,2,45,10,105,14496,219,1,1,23,195,909,477,2,1,398,1,0,22,4,31515,305,40,30813,347,242,241,12,5,224,0,1,0,0,0,1,6481,6293,1,494,5790,169,20,20,0,1719,1641,78,2,76,0,0,82,79,79,0,3,3,0,3,22512,20465,20463,3687,16780,3,2022,2022,0,,74773
2013,111559,89170,â€¦,â€¦,â€¦,41,30,0,10,1,239,26789,26341,12,63,53,443,789,13222,775,2,11083,22,774,497,306,13,6,36,2,14,4,130,17163,245,1,1,28,216,821,402,1,1,397,0,0,14,3,35454,281,43,34410,724,145,143,11,6,126,0,2,1,0,1,1,6852,6637,1,354,6299,177,39,39,0,1635,1558,78,2,76,0,0,89,85,85,0,4,4,0,4,22474,20645,20643,3755,16891,3,1823,1823,0,,81343
2014,113173,90495,â€¦,â€¦,â€¦,51,38,0,13,1,346,27121,26687,19,66,82,324,725,13601,793,2,11127,20,699,478,306,11,6,27,1,13,5,118,18946,259,1,1,29,229,727,314,1,1,399,0,0,8,3,34745,251,41,33752,706,131,129,10,7,112,0,2,1,0,1,1,6826,6648,1,395,6265,122,57,57,0,1537,1473,64,2,62,0,0,98,94,93,0,4,4,0,4,22759,21021,21019,3809,17213,2,1742,1742,0,,83765
2015,121868,98536,â€¦,â€¦,â€¦,45,32,1,12,2,406,29264,29058,5,27,68,363,431,15993,686,2,11527,11,344,206,132,6,3,14,1,5,6,39,21350,331,1,1,33,297,703,329,1,1,361,0,0,7,2,37502,412,40,36198,850,209,205,18,8,178,0,3,2,0,1,2,7346,7115,1,490,6631,155,77,77,0,1672,1599,74,2,71,0,0,86,82,82,0,4,4,0,4,23333,21446,21444,3884,17563,2,1884,1884,0,,90879
2016,123054,99506,â€¦,â€¦,â€¦,26,18,1,7,2,403,32387,32146,5,29,49,323,433,20542,721,2,9710,9,361,242,135,10,5,17,1,9,6,59,21696,478,1,1,46,430,743,344,3,1,370,0,1,20,3,34604,359,38,33271,936,255,249,28,12,208,0,5,3,1,2,2,7232,6892,2,513,6382,242,98,98,0,1595,1515,79,4,75,0,0,97,94,93,0,3,3,0,5,23548,21748,21746,4141,17605,3,1799,1799,0,,95154
2017,122183,98699,â€¦,â€¦,â€¦,10,6,1,3,2,585,32514,32295,4,27,45,266,402,21708,622,2,8848,10,363,218,118,7,4,24,1,7,6,52,21736,379,0,1,42,335,729,291,3,0,416,0,2,13,4,33759,285,43,32481,950,220,214,28,40,145,0,6,3,1,3,3,7153,6853,2,730,6121,191,109,109,0,1506,1424,82,4,78,0,0,102,99,99,0,3,3,0,5,23485,21806,21803,4227,17576,3,1679,1679,0,,95734
2018,119387,95196,â€¦,â€¦,â€¦,4,3,0,1,2,360,33589,33374,5,27,32,180,410,22342,638,1,9354,9,375,215,115,7,4,17,1,27,7,37,21647,442,0,1,50,390,859,425,3,0,418,0,1,11,4,29919,214,38,28782,884,154,149,19,9,120,0,6,3,1,3,2,6539,6286,1,613,5670,154,99,99,0,1696,1609,87,3,83,0,0,106,103,102,0,3,3,0,4,24177,22361,22359,4871,17491,3,1816,1816,0,,96788
2019,122860,96575,â€¦,â€¦,â€¦,5,3,0,1,1,1049,37565,37400,3,25,28,168,379,23175,554,1,12549,8,340,172,86,5,3,16,1,22,7,32,19279,667,0,1,68,599,691,254,3,1,391,1,2,33,4,29066,237,45,27845,941,133,126,18,9,99,0,7,4,1,3,3,6767,6493,1,675,5818,172,101,101,0,1820,1748,72,4,68,0,0,106,103,103,0,3,3,0,5,26249,24248,24245,5215,19032,3,2001,2001,0,,101708
2020,118004,92167,â€¦,â€¦,â€¦,2,1,0,1,1,850,35618,35465,3,23,30,163,346,22514,464,1,11543,8,294,161,91,4,2,12,1,19,7,26,20007,406,1,1,52,352,641,199,3,1,401,0,1,28,2,26709,243,34,25572,862,97,89,17,10,62,0,9,6,1,5,3,6139,5895,1,701,5207,146,97,97,0,2027,1990,38,3,35,0,0,108,106,106,0,2,2,0,5,25795,23524,23522,5953,17583,3,2273,2273,0,,98863
2021,111560,85568,â€¦,â€¦,â€¦,2,1,0,1,2,513,38519,38349,7,23,24,204,407,25812,390,1,11332,7,354,178,99,5,3,16,1,16,10,31,14253,570,1,1,67,500,627,184,3,1,408,0,1,17,3,24360,270,34,23191,870,112,104,27,12,66,0,8,5,1,4,3,6776,6525,2,963,5612,146,106,106,0,2112,2030,81,4,76,0,0,87,84,84,0,2,2,0,6,25981,23598,23589,7164,16455,10,2387,2387,0,,95405
2022,115265,87779,â€¦,â€¦,â€¦,2,1,0,1,2,632,38760,38534,5,25,30,218,455,26322,417,2,10885,8,443,221,130,6,4,16,1,16,12,39,14875,602,1,1,57,545,915,572,4,0,406,0,1,18,3,22771,306,38,21517,917,183,175,26,12,136,0,8,5,1,4,3,8659,8374,2,1102,7305,154,130,130,0,2496,2257,230,4,224,0,0,79,76,75,0,3,3,0,7,27496,24763,24760,8016,16771,3,2748,2748,0,,101063
2023,115962,86351,â€¦,â€¦,â€¦,2,1,0,1,1,646,38773,38551,5,25,30,217,450,25661,413,1,11399,8,438,218,129,6,4,16,1,16,11,38,14101,631,1,1,58,574,925,624,3,0,380,1,1,19,3,21859,374,44,20536,922,178,170,26,14,130,0,8,5,1,4,3,8706,8389,2,1003,7391,172,145,145,0,3121,3036,84,4,80,0,0,94,89,89,0,5,5,0,6,29679,26478,26475,9032,17460,3,3238,3238,0,,103131
